2025-10-09 01:00:13 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.79
2025-10-09 01:00:13 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.72
2025-10-09 01:00:14 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.87
2025-10-09 01:00:15 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.94
2025-10-09 01:00:16 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 1.00
2025-10-09 01:00:17 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.88
2025-10-09 01:00:18 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 1.00
2025-10-09 01:00:18 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.76
2025-10-09 01:00:19 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.99
2025-10-09 01:00:36 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.79
2025-10-09 01:00:36 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.72
2025-10-09 01:00:37 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.87
2025-10-09 01:00:38 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.93
2025-10-09 01:00:39 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.99
2025-10-09 01:00:40 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.87
2025-10-09 01:00:41 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.99
2025-10-09 01:00:41 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.75
2025-10-09 01:00:42 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.99
2025-10-09 01:00:59 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.78
2025-10-09 01:00:59 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.69
2025-10-09 01:01:00 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.86
2025-10-09 01:01:01 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.92
2025-10-09 01:01:02 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.99
2025-10-09 01:01:03 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.87
2025-10-09 01:01:03 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.99
2025-10-09 01:01:04 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.74
2025-10-09 01:01:05 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.98
2025-10-09 01:01:21 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.78
2025-10-09 01:01:22 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.68
2025-10-09 01:01:23 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.86
2025-10-09 01:01:23 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.91
2025-10-09 01:01:25 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.97
2025-10-09 01:01:26 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.86
2025-10-09 01:01:26 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.99
2025-10-09 01:01:27 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.73
2025-10-09 01:01:28 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.98
2025-10-09 01:01:44 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.77
2025-10-09 01:01:45 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.68
2025-10-09 01:01:46 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 01:01:46 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.91
2025-10-09 01:01:48 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.97
2025-10-09 01:01:48 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.86
2025-10-09 01:01:49 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.98
2025-10-09 01:01:50 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.72
2025-10-09 01:01:50 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.97
2025-10-09 01:02:07 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.77
2025-10-09 01:02:08 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.67
2025-10-09 01:02:08 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 01:02:09 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.90
2025-10-09 01:02:10 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.95
2025-10-09 01:02:11 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.85
2025-10-09 01:02:12 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.98
2025-10-09 01:02:12 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.72
2025-10-09 01:02:13 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.96
2025-10-09 01:02:30 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.76
2025-10-09 01:02:31 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.67
